iShares Russell 3000 ETF
Fund Holdings as of,"Jul 24, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"46,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ITW","ILLINOIS TOOL INC","Industrials","Equity","22,104,994.08","0.11","22,104,994.08","78,104.00","283.02","United States","NYSE","USD","1.00","USD","-"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","22,016,455.96","0.11","22,016,455.96","89,186.00","246.86","United States","NASDAQ","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","21,775,513.72","0.11","21,775,513.72","73,484.00","296.33","United States","NASDAQ","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","21,507,731.10","0.11","21,507,731.10","61,335.00","350.66","United States","NYSE","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","21,459,650.94","0.11","21,459,650.94","962,532.00","22.30","United States","NASDAQ","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","21,282,470.98","0.11","21,282,470.98","145,382.00","146.39","United States","NYSE","USD","1.00","USD","-"
"SLB","SLB NV","Energy","Equity","21,279,584.48","0.11","21,279,584.48","405,944.00","52.42","United States","NYSE","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","21,094,669.64","0.11","21,094,669.64","348,557.00","60.52","United States","NASDAQ","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","21,090,921.81","0.11","21,090,921.81","126,543.00","166.67","United States","NYSE","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","20,949,560.85","0.11","20,949,560.85","86,159.00","243.15","United States","NASDAQ","USD","1.00","USD","-"
"SPOT","SPOTIFY TECHNOLOGY SA","Communication","Equity","20,696,460.80","0.11","20,696,460.80","42,880.00","482.66","Sweden","NYSE","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","20,529,644.29","0.11","20,529,644.29","70,897.00","289.57","United States","NYSE","USD","1.00","USD","-"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","20,491,745.31","0.11","20,491,745.31","85,779.00","238.89","United States","NASDAQ","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","20,437,135.10","0.11","20,437,135.10","56,503.00","361.70","United States","NYSE","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","20,153,086.24","0.10","20,153,086.24","243,866.00","82.64","United States","NYSE","USD","1.00","USD","-"
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","20,046,908.16","0.10","20,046,908.16","147,904.00","135.54","United States","NASDAQ","USD","1.00","USD","-"
"RCL","ROYAL CARIBBEAN GROUP LTD","Consumer Discretionary","Equity","20,039,682.26","0.10","20,039,682.26","68,269.00","293.54","United States","NYSE","USD","1.00","USD","-"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","19,939,848.84","0.10","19,939,848.84","86,778.00","229.78","United States","NYSE","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","19,929,785.19","0.10","19,929,785.19","62,769.00","317.51","United States","NYSE","USD","1.00","USD","-"
"HOOD","ROBINHOOD MARKETS INC CLASS A","Financials","Equity","19,811,798.13","0.10","19,811,798.13","208,743.00","94.91","United States","NASDAQ","USD","1.00","USD","-"
